mode,nominal_missing_rate,position,n,accuracy,macro_f1,mae,pearson,negative_f1,neutral_f1,positive_f1,observed_missing_text,observed_missing_audio,observed_missing_vision
text,0.1,start,728,0.6222527472527473,0.5811550009721469,0.6133474111557007,0.6217810092866037,0.6384039900249376,0.3961661341853035,0.7088948787061995,0.10191008618681574,0.0,0.0
text,0.1,middle,728,0.6304945054945055,0.5940798709967646,0.6044558882713318,0.6248845243089901,0.6764705882352942,0.3987538940809969,0.7070151306740028,0.10191008618681574,0.0,0.0
text,0.1,end,728,0.6236263736263736,0.5927107922149831,0.6097418665885925,0.5952081019368926,0.6617647058823529,0.417910447761194,0.6984572230014026,0.10191008618681574,0.0,0.0
text,0.3,start,728,0.6098901098901099,0.5627537122618804,0.6291993260383606,0.5832792482704869,0.6292682926829268,0.3564356435643564,0.702557200538358,0.2996156533892383,0.0,0.0
text,0.3,middle,728,0.6057692307692307,0.5694734607149181,0.6229596734046936,0.5763531851101341,0.6240409207161125,0.39039039039039036,0.6939890710382514,0.2996156533892383,0.0,0.0
text,0.3,end,728,0.5934065934065934,0.5636807198513404,0.6249971389770508,0.5843945149037585,0.6381909547738693,0.3815028901734104,0.6713483146067416,0.2996156533892383,0.0,0.0
text,0.5,start,728,0.5934065934065934,0.5495628020600273,0.6555961966514587,0.530847168211844,0.5980392156862745,0.3660130718954248,0.6846361185983828,0.49953412532028885,0.0,0.0
text,0.5,middle,728,0.5810439560439561,0.5500169543692714,0.6539000868797302,0.5239812818113367,0.5842105263157895,0.3954802259887006,0.6703601108033241,0.49953412532028885,0.0,0.0
text,0.5,end,728,0.5659340659340659,0.5467133384923106,0.6492371559143066,0.5151866685868678,0.5774278215223098,0.4194373401534527,0.6432748538011696,0.49953412532028885,0.0,0.0
audio,0.1,start,728,0.6332417582417582,0.5958224069223219,0.597777247428894,0.6413579803682434,0.6813725490196079,0.39747634069400634,0.7086183310533516,0.0,0.10189186032932383,0.0
audio,0.1,middle,728,0.6346153846153846,0.5960517410926874,0.5959128737449646,0.6413165029611709,0.683046683046683,0.39490445859872614,0.710204081632653,0.0,0.10189186032932383,0.0
audio,0.1,end,728,0.6332417582417582,0.5954432821063682,0.5970556139945984,0.6404130805724969,0.6862745098039216,0.3924050632911392,0.7076502732240437,0.0,0.10200864183113395,0.0
audio,0.3,start,728,0.6263736263736264,0.59171597350474,0.5961571335792542,0.642084297140394,0.6748166259168704,0.39755351681957185,0.7027777777777777,0.0,0.2996029428938456,0.0
audio,0.3,middle,728,0.6304945054945055,0.592052422930193,0.5958830714225769,0.6414256203972061,0.6765432098765433,0.3911671924290221,0.7084468664850136,0.0,0.2996029428938456,0.0
audio,0.3,end,728,0.635989010989011,0.5988128775219376,0.597561776638031,0.6397339118588827,0.6814814814814815,0.4037854889589905,0.7111716621253406,0.0,0.29971972439565575,0.0
audio,0.5,start,728,0.6291208791208791,0.5971873702280409,0.5954058170318604,0.6424789646524384,0.6780487804878049,0.4133738601823708,0.700139470013947,0.0,0.4994744832418545,0.0
audio,0.5,middle,728,0.6277472527472527,0.5881093111001144,0.5968716740608215,0.6403771191331961,0.6699751861042184,0.3860759493670886,0.7082767978290366,0.0,0.4994744832418545,0.0
audio,0.5,end,728,0.6318681318681318,0.5923534951427761,0.5998883843421936,0.6372644413955695,0.6782178217821783,0.38977635782747605,0.7090663058186739,0.0,0.4995912647436646,0.0
vision,0.1,start,728,0.635989010989011,0.5987390131377787,0.5972501039505005,0.6401776197461531,0.6813725490196079,0.4025157232704403,0.7123287671232876,0.0,0.0,0.10245800395256917
vision,0.1,middle,728,0.6346153846153846,0.5980602457901584,0.5966274738311768,0.6408555697620132,0.683046683046683,0.4025157232704403,0.7086183310533516,0.0,0.0,0.10221096837944664
vision,0.1,end,728,0.6332417582417582,0.5959189998196138,0.5978554487228394,0.6395846932677577,0.6813725490196079,0.3987341772151899,0.7076502732240437,0.0,0.0,0.100975790513834
vision,0.3,start,728,0.6414835164835165,0.6042475741695649,0.5954799652099609,0.6407481264384789,0.6847290640394089,0.41139240506329117,0.7166212534059946,0.0,0.0,0.3011981225296443
vision,0.3,middle,728,0.6346153846153846,0.5979254563439833,0.596796452999115,0.6396403208209681,0.6813725490196079,0.4037854889589905,0.7086183310533516,0.0,0.0,0.3005187747035573
vision,0.3,end,728,0.6332417582417582,0.5961404817013823,0.5970823764801025,0.6395666657844253,0.681265206812652,0.4012738853503185,0.7058823529411765,0.0,0.0,0.2972455533596838
vision,0.5,start,728,0.635989010989011,0.5981157624691193,0.5986045598983765,0.64017509650793,0.6847290640394089,0.39747634069400634,0.7121418826739427,0.0,0.0,0.5020380434782609
vision,0.5,middle,728,0.6291208791208791,0.5915526984567162,0.598659873008728,0.637509420382763,0.6798029556650246,0.389937106918239,0.7049180327868853,0.0,0.0,0.5005558300395256
vision,0.5,end,728,0.635989010989011,0.601960414320642,0.5951099395751953,0.6380270826105685,0.6796116504854369,0.4200626959247649,0.7062068965517241,0.0,0.0,0.4971590909090909
text+audio,0.1,start,728,0.6263736263736264,0.5861993031380993,0.6124821305274963,0.6207940610864682,0.6384039900249376,0.40764331210191085,0.7125506072874493,0.10191008618681574,0.10189186032932383,0.0
text+audio,0.1,middle,728,0.6291208791208791,0.5915958677532752,0.6040641665458679,0.6258037817615983,0.6732186732186732,0.39375,0.7078189300411523,0.10191008618681574,0.10189186032932383,0.0
text+audio,0.1,end,728,0.6263736263736264,0.5955436481708788,0.6087484955787659,0.595335865142612,0.6617647058823529,0.4226190476190476,0.702247191011236,0.10191008618681574,0.10200864183113395,0.0
text+audio,0.3,start,728,0.6002747252747253,0.5534411913918101,0.632347583770752,0.5812754205645232,0.6195121951219512,0.34527687296416937,0.6955345060893099,0.2996156533892383,0.2996029428938456,0.0
text+audio,0.3,middle,728,0.5989010989010989,0.5658708761267159,0.6235999464988708,0.5749827065414643,0.6205128205128205,0.39296187683284456,0.6841379310344827,0.2996156533892383,0.2996029428938456,0.0
text+audio,0.3,end,728,0.5961538461538461,0.5669496147984431,0.624970555305481,0.5821161479455462,0.6347607052896725,0.3919308357348703,0.6741573033707865,0.2996156533892383,0.29971972439565575,0.0
text+audio,0.5,start,728,0.5906593406593407,0.5521553622658679,0.6549043655395508,0.5307541727060874,0.6014669926650367,0.37735849056603776,0.6776406035665294,0.49953412532028885,0.4994744832418545,0.0
text+audio,0.5,middle,728,0.5810439560439561,0.5479539873067524,0.6513870358467102,0.5231041889258422,0.5759162303664922,0.39204545454545453,0.6759002770083102,0.49953412532028885,0.4994744832418545,0.0
text+audio,0.5,end,728,0.5618131868131868,0.5405782057831052,0.6532078981399536,0.5055987463285937,0.5668449197860963,0.41131105398457585,0.6435786435786436,0.49953412532028885,0.4995912647436646,0.0
text+vision,0.1,start,728,0.6195054945054945,0.5771803442249539,0.6151108741760254,0.6212763568924732,0.6384039900249376,0.3870967741935484,0.7060402684563758,0.10191008618681574,0.0,0.10245800395256917
text+vision,0.1,middle,728,0.6304945054945055,0.5939916989672861,0.6039892435073853,0.6254063368614077,0.6764705882352942,0.39751552795031053,0.7079889807162535,0.10191008618681574,0.0,0.10221096837944664
text+vision,0.1,end,728,0.625,0.5942185248215783,0.6096876859664917,0.5961827862127439,0.6650366748166259,0.41916167664670656,0.6984572230014026,0.10191008618681574,0.0,0.100975790513834
text+vision,0.3,start,728,0.6098901098901099,0.5623307334053848,0.6285576224327087,0.5834685721421228,0.6328502415458938,0.35333333333333333,0.7008086253369272,0.2996156533892383,0.0,0.3011981225296443
text+vision,0.3,middle,728,0.6043956043956044,0.5707618484642354,0.6222047209739685,0.575993114161492,0.6259541984732825,0.39762611275964393,0.6887052341597796,0.2996156533892383,0.0,0.3005187747035573
text+vision,0.3,end,728,0.5934065934065934,0.5665682613101054,0.6237478852272034,0.5824728864783495,0.6401985111662531,0.3909348441926346,0.6685714285714286,0.2996156533892383,0.0,0.2972455533596838
text+vision,0.5,start,728,0.5961538461538461,0.5546220419081055,0.6532223224639893,0.5340400015717914,0.6063569682151589,0.3717948717948718,0.6857142857142857,0.49953412532028885,0.0,0.5020380434782609
text+vision,0.5,middle,728,0.5741758241758241,0.5411063758803741,0.6536162495613098,0.5226885104366233,0.5744125326370757,0.3785310734463277,0.6703755215577191,0.49953412532028885,0.0,0.5005558300395256
text+vision,0.5,end,728,0.5576923076923077,0.5382649719279712,0.6549478769302368,0.50706481165927,0.5721649484536082,0.4082687338501292,0.6343612334801763,0.49953412532028885,0.0,0.4971590909090909
